ID,Recap,Trap,SVL,VTL,Regen,Weight,Sex,Year,projected_SVL,Toes
267,False,['PR79'],66,84,0.0,6.31,M,2019,100,[]
268,False,['PR7'],73,88,4.0,8.0,F,2019,100,"['LF3', 'LF5']"
269,False,['PR18'],62,71,10.0,4.8,F,2019,100,['RF1']
270,False,['R100'],60,37,4.0,3.92,M,2019,100,['LF4']
271,False,['R31'],77,50,32.0,7.76,F,2019,100,[]
272,False,['R22'],56,68,0.0,3.01,M,2019,100,[]
273,True,['R12'],72,79,0.1,6.77,F,2020,100,"['LF2', 'LF4', 'LR3', 'LR4', 'RR4']"
274,False,['PR6'],45,57,0.0,1.61,N,2019,65,[]
275,True,"['R97', 'R96', 'R95']",77,18,6.0,6.48,M,2020,100,['RR4']
276,False,['R26'],62,73,1.0,4.81,M,2019,100,[]
277,False,['W14'],63,63,0.0,4.63,M,2019,100,"['RR4', 'RR5']"
278,True,"['PR79', 'PR77']",77,32,0.0,7.53,F,2020,100,"['RF1', 'RF2', 'RF3', 'RF4']"
279,False,['R3'],65,32,12.0,5.66,M,2019,100,[]
280,False,['PR59'],67,47,41.0,5.67,F,2019,100,['LF2']
281,False,['R26'],69,67,1.0,7.15,F,2019,100,[]
282,False,['PR59'],68,47,30.0,6.63,M,2019,100,"['LR3', 'LR4']"
283,False,['R105'],63,74,8.0,6.1,F,2019,100,"['RF2', 'RF4', 'RR2']"
284,False,['PR23'],60,81,0.0,5.26,M,2019,100,"['RF3', 'RF4', 'RR1']"
285,False,['R90'],62,45,36.0,6.06,M,2019,100,[]
286,False,['R3'],75,67,30.0,8.51,M,2019,100,[]
287,False,['R4'],65,74,2.0,5.19,M,2019,100,[]
288,False,['R26'],38,48,0.0,0.86,N,2019,58,[]
289,False,['R12'],71,73,2.0,7.24,M,2019,100,"['RF1', 'LR1', 'LR2', 'LR5', 'RR1']"
290,False,['R105'],67,73,2.0,6.19,M,2019,100,[]
291,True,"['PR7', 'PR6']",71,44,32.0,6.91,M,2020,100,[]
292,False,['R96'],71,81,0.1,4.64,F,2019,100,"['LR2', 'LR3', 'LR4', 'RR2']"
293,True,['R31'],62,63,13.0,5.03,M,2020,100,[]
294,False,['PR77'],67,82,0.0,6.3,M,2019,100,[]
295,False,['W23'],63,78,0.0,4.99,M,2019,100,[]
296,True,"['R2', 'PR11']",72,76,13.0,8.1,M,2020,100,['RF1']
297,True,['B3'],68,64,5.0,6.79,F,2020,100,[]
298,False,['W12'],68,81,0.0,6.75,M,2019,100,"['RF2', 'RF3', 'RR3', 'RR4', 'RR5']"
299,True,"['PR7', 'R77', 'PR8']",71,47,26.0,6.3,M,2020,100,[]
300,False,['R91'],65,42,37.0,5.41,F,2019,100,"['RF3', 'RF4', 'RR3', 'RR4']"
301,False,['B1'],32,40,0.0,0.68,N,2019,52,[]
302,False,['R106'],37,48,0.0,1.13,N,2019,57,[]
303,False,['PR63'],63,67,5.0,5.26,nan,2019,100,"['RF1', 'RF2', 'RF3', 'RF4']"
304,False,['R18'],64,80,0.0,4.59,M,2019,100,[]
305,False,['B3'],41,52,0.0,1.35,N,2019,61,[]
306,False,['R22'],71,72,1.0,7.31,M,2019,100,[]
307,False,['W3'],53,72,0.0,1.55,nan,2020,63,[]
308,False,"['W4', 'W5']",57,80,0.0,3.87,nan,2020,67,[]
309,False,['R11'],52,71,0.0,2.92,nan,2020,62,[]
310,True,['W6'],62,66,4.0,4.54,M,2020,100,[]
